End Quarter Date,Facility Name,Average Inmate Population,Average Number of Permanent Beds,Inmate Population Density
9/30/17,Cheshire,1305,1517,86
9/30/17,Osborn,1394,1392,100.1
9/30/17,MYI,545,657,83
9/30/17,Garner,546,676,80.8
9/30/17,Corrigan-Radgowski,1170,1247,93.8
9/30/17,MacDougall/Walker,1895,2131,88.9
12/31/17,Brooklyn,453,456,99.3
12/31/17,Cheshire,1315,1517,86.7
12/31/17,Willard-Cybulski,1114,1148,97
12/31/17,Enfield,568,722,78.7
12/31/17,Northern,277,564,49.1
12/31/17,Garner,555,676,82.1
12/31/17,Gates,0,1139,0
12/31/17,MacDougall/Walker,1892,2131,88.8
12/31/17,Bridgeport,739,831,88.9
12/31/17,Webster,0,584,0
12/31/17,CRCI,1423,1480,96.1
12/31/17,Hartford,914,1008,90.7
12/31/17,Osborn,1382,1392,99.3
12/31/17,New Haven,697,744,93.7
12/31/17,York,952,1137,83.7
12/31/17,MYI,506,657,77
12/31/17,Corrigan-Radgowski,1194,1247,95.7
3/31/18,York,930,1286,72.3
3/31/18,Gates,0,1139,0
3/31/18,MYI,503,706,71.2
3/31/18,Brooklyn,454,456,99.6
3/31/18,Osborn,1363,1499,90.9
3/31/18,MacDougall/Walker,1955,2218,88.1
3/31/18,Hartford,938,1035,90.6
3/31/18,Webster,0,584,0
3/31/18,Corrigan-Radgowski,1218,1304,93.4
3/31/18,CRCI,1472,1512,97.4
3/31/18,Bridgeport,765,879,87
3/31/18,Northern,275,577,47.7
3/31/18,Willard-Cybulski,1137,1148,99
3/31/18,Enfield,30,740,4.1
3/31/18,New Haven,721,769,93.8
3/31/18,Cheshire,1428,1576,90.6
3/31/18,Garner,560,750,74.7
6/30/18,Willard-Cybulski,1130,1148,98.4
6/30/18,CRCI,1455,1512,96.2
6/30/18,New Haven,715,769,93
6/30/18,MYI,486,706,68.8
6/30/18,Bridgeport,743,879,84.5
6/30/18,Osborn,1321,1499,88.1
6/30/18,Enfield,0,740,0
6/30/18,Brooklyn,451,456,98.9
6/30/18,Garner,551,750,73.5
6/30/18,Hartford,934,1035,90.2
6/30/18,Webster,0,584,0
6/30/18,Northern,274,577,47.5
6/30/18,MacDougall/Walker,1908,2218,86
6/30/18,York,927,1234,75.1
6/30/18,Cheshire,1380,1576,87.6
6/30/18,Corrigan-Radgowski,1195,1304,91.6
6/30/18,Gates,0,1139,0
9/30/18,MacDougall/Walker,1923,2218,86.7
9/30/18,Garner,560,750,74.7
9/30/18,CRCI,1449,1512,95.8
9/30/18,Cheshire,1291,1560,82.8
9/30/18,Brooklyn,450,456,98.7
9/30/18,Northern,273,577,47.3
9/30/18,York,944,1344,70.2
9/30/18,MYI,472,704,67
9/30/18,Willard-Cybulski,1135,1148,98.9
9/30/18,Enfield,0,740,0
9/30/18,Corrigan-Radgowski,1193,1304,91.5
9/30/18,Gates,0,1139,0
9/30/18,New Haven,707,769,91.9
9/30/18,Bridgeport,755,879,85.9
9/30/18,Webster,0,584,0
9/30/18,Hartford,944,1035,91.2
9/30/18,Osborn,1334,1505,88.6
12/31/18,Hartford,925,1035,89.4
12/31/18,York,943,1344,70.2
12/31/18,Willard-Cybulski,1139,1148,99.2
12/31/18,Webster,0,584,0
12/31/18,Osborn,1318,1505,87.6
12/31/18,Northern,270,577,46.8
12/31/18,New Haven,713,769,92.7
12/31/18,MYI,457,706,64.7
12/31/18,MacDougall/Walker,1919,2218,86.5
12/31/18,Gates,0,1139,0
12/31/18,Garner,543,750,72.4
12/31/18,Enfield,0,740,0
12/31/18,CRCI,1443,1512,95.4
12/31/18,Corrigan-Radgowski,1219,1304,93.5
12/31/18,Cheshire,1272,1560,81.5
12/31/18,Brooklyn,453,456,99.3
12/31/18,Bridgeport,765,879,87
3/31/19,Bridgeport,746,1087,68.6
3/31/19,York,943,1342,70.3
3/31/19,Willard-Cybulski,1138,1148,99.1
3/31/19,Webster,0,584,0
3/31/19,Osborn,1328,1505,88.2
3/31/19,Northern,267,577,46.3
3/31/19,New Haven,702,769,91.3
3/31/19,MYI,434,706,61.5
3/31/19,MacDougall/Walker,1932,2218,87.1
3/31/19,Hartford,947,1035,91.5
3/31/19,Gates,0,1139,0
3/31/19,Garner,559,750,74.5
3/31/19,Enfield,0,740,0
3/31/19,CRCI,1442,1512,95.4
3/31/19,Corrigan-Radgowski,1175,1557,75.5
3/31/19,Cheshire,1295,1559,83.1
3/31/19,Brooklyn,454,456,99.6
9/30/19,Bridgeport,709,1087,65.2
9/30/19,Brooklyn,454,456,99.6
9/30/19,Cheshire,1315,1559,84.3
9/30/19,Corrigan-Radgowski,1101,1557,70.7
9/30/19,CRCI,1461,1512,96.6
9/30/19,Enfield,0,740,0
9/30/19,Garner,574,749,76.6
9/30/19,Gates,0,1139,0
9/30/19,Hartford,930,1035,89.9
9/30/19,MacDougall/Walker,1948,2215,87.9
9/30/19,MYI,320,706,45.3
9/30/19,New Haven,711,769,92.5
9/30/19,Northern,193,577,33.4
9/30/19,Osborn,1330,1505,88.4
9/30/19,Webster,0,584,0
9/30/19,Willard-Cybulski,1146,1148,99.8
9/30/19,York,882,1342,65.7
9/30/20,Bridgeport,592,1087,54.5
9/30/20,Brooklyn,323,456,70.8
9/30/20,Cheshire,1097,1549,70.8
9/30/20,Corrigan-Radgowski,844,1557,54.2
9/30/20,CRCI,812,1512,53.7
9/30/20,Enfield,0,740,0
9/30/20,Garner,513,749,68.5
9/30/20,Gates,0,1139,0
9/30/20,Hartford,750,1035,72.5
9/30/20,MacDougall/Walker,1799,2218,81.1
9/30/20,MYI,218,706,30.9
9/30/20,New Haven,617,765,80.7
9/30/20,Northern,92,577,15.9
9/30/20,Osborn,993,1505,66
9/30/20,Webster,0,584,0
9/30/20,Willard-Cybulski,434,1148,37.8
9/30/20,York,525,1342,39.1
12/31/20,Bridgeport,618,1087,56.9
12/31/20,Brooklyn,304,456,66.7
12/31/20,Cheshire,1064,1549,68.7
12/31/20,Corrigan-Radgowski,826,1557,53.1
12/31/20,CRCI,802,1512,53
12/31/20,Enfield,0,740,0
12/31/20,Garner,487,749,65
12/31/20,Gates,0,1139,0
12/31/20,Hartford,745,1035,72
12/31/20,MacDougall/Walker,1682,2218,75.8
12/31/20,MYI,221,706,31.3
12/31/20,New Haven,633,769,82.3
12/31/20,Northern,81,577,14
12/31/20,Osborn,893,1524,58.6
12/31/20,Webster,0,584,0
12/31/20,Willard-Cybulski,360,1136,31.7
12/31/20,York,499,1223,40.8
